Start training!
Training finished!
         47729690 function calls (45548423 primitive calls) in 69.398 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:24(_Enhance)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:39(Color)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:57(Contrast)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:74(Brightness)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:90(Sharpness)
    16896    0.368    0.000   24.442    0.001 ImageFile.py:155(load)
     8448    0.009    0.000    0.011    0.000 ImageFile.py:229(<listcomp>)
     8448    0.002    0.000    0.002    0.000 ImageFile.py:232(<lambda>)
     8448    0.007    0.000    0.200    0.000 ImageFile.py:292(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:328(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:358(Parser)
       44    0.000    0.000    0.561    0.013 ImageFile.py:496(_save)
       44    0.000    0.000    0.561    0.013 ImageFile.py:524(_encode_tile)
    33798    0.014    0.000    0.020    0.000 ImageFile.py:552(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:587(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:598(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:670(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:719(PyEncoder)
     8492    0.001    0.000    0.001    0.000 ImageFile.py:75(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:85(ImageFile)
     8448    0.025    0.000    0.489    0.000 ImageFile.py:88(__init__)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:107(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:122(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:137(ModeFilter)
